sim ils_level int taxa_ref avg_dist
2 SHORT EXT 0_0_0 0.272949
2 SHORT INT 35_0_0 0.0835657
1 SHORT INT 9_0_0 0.0841078
1 SHORT EXT 0_0_0 0.264532
4 SHORT EXT 0_0_0 0.26792
3 SHORT EXT 0_0_0 0.271526
3 SHORT INT 64_0_0 0.0806696
5 SHORT INT 2_0_0 0.0793637
4 SHORT INT 25_0_0 0.0831578
6 SHORT EXT 0_0_0 0.268858
5 SHORT EXT 0_0_0 0.266307
6 SHORT INT 72_0_0 0.0823784
7 SHORT INT 91_0_0 0.0825186
7 SHORT EXT 0_0_0 0.286155
9 SHORT INT 49_0_0 0.0835912
9 SHORT EXT 0_0_0 0.26537
8 SHORT EXT 0_0_0 0.307241
10 SHORT EXT 0_0_0 0.290612
8 SHORT INT 88_0_0 0.0788676
10 SHORT INT 89_0_0 0.0754627
1 LONG EXT 0_0_0 0.442913
1 LONG INT 57_0_0 0.0310882
3 LONG INT 14_0_0 0.0317784
2 LONG INT 93_0_0 0.0302951
2 LONG EXT 0_0_0 0.44005
3 LONG EXT 0_0_0 0.4654
4 LONG INT 70_0_0 0.0316549
5 LONG INT 86_0_0 0.0331186
5 LONG EXT 0_0_0 0.474062
4 LONG EXT 0_0_0 0.407995
7 LONG INT 8_0_0 0.0309471
6 LONG EXT 0_0_0 0.433813
9 LONG EXT 0_0_0 0.456907
6 LONG INT 56_0_0 0.0317363
9 LONG INT 13_0_0 0.0340686
10 LONG INT 43_0_0 0.0280794
7 LONG EXT 0_0_0 0.470578
8 LONG INT 35_0_0 0.0311569
8 LONG EXT 0_0_0 0.384678
10 LONG EXT 0_0_0 0.435125
3 MED INT 64_0_0 0.0603324
3 MED EXT 0_0_0 0.327855
1 MED INT 15_0_0 0.0490882
5 MED EXT 0_0_0 0.382913
4 MED INT 89_0_0 0.0494255
1 MED EXT 0_0_0 0.370883
5 MED INT 75_0_0 0.0525324
6 MED INT 35_0_0 0.0568206
4 MED EXT 0_0_0 0.390125
7 MED EXT 0_0_0 0.329433
7 MED INT 88_0_0 0.0555343
6 MED EXT 0_0_0 0.317512
2 MED INT 33_0_0 0.0566971
2 MED EXT 0_0_0 0.324202
8 MED EXT 0_0_0 0.388991
8 MED INT 72_0_0 0.0511892
9 MED EXT 0_0_0 0.291825
9 MED INT 95_0_0 0.0640765
10 MED EXT 0_0_0 0.354225
10 MED INT 17_0_0 0.0537353
6 MED EXT 0_0_0 0.316956
10 MED EXT 0_0_0 0.353634
